EcommerceSite,Rating,Recommends,Reviews,ReviewId
Kwabey.com,1,1%,(166 Votes),926052043
Tkameez.com,1,1%,(3 Votes),926033828
Ulykshop.in,0,0%,(0 Votes),926086405
Kaya Care Ayurveda,1,1%,(1 Vote),926049281
Peachmode.com,1.12,3%,"(2,045 Votes)",925738545
AJIO.com,1.78,25%,"(11,961 Votes)",925839312
EverStylish.com,2.4,38%,"(1,177 Votes)",925827902
Shopify.in,1.61,18%,(452 Votes),925771199
Myntra.com,2.71,52%,"(65,906 Votes)",925076140
Cilory.com,2.15,35%,"(2,865 Votes)",925663927
Grofers.com,1.91,26%,"(9,250 Votes)",925738270
Kitabay.com,5,100%,(3 Votes),926015582
Woodenstreet.com,4.22,69%,"(8,157 Votes)",925811226
Bigbasket.com,2.12,34%,"(20,879 Votes)",925660627
LatestOne.com,1.2,9%,"(2,984 Votes)",925725975
Zouk.co.in,1,1%,(131 Votes),925952770
Nutrabay.com,1.55,19%,(547 Votes),925964814
Propshop24.com,1.44,13%,(190 Votes),925944194
Healthmug.com,2.12,36%,(190 Votes),926023083
Limeroad.com,1.92,27%,"(8,311 Votes)",925713540
Bunaai.com,1.55,18%,(131 Votes),926022995
Getinstacash.in,1.74,22%,(666 Votes),925920563
Moglix.com,1.77,23%,"(2,105 Votes)",925840483
Perfumery.co.in,2.58,42%,(333 Votes),925994864
Freshtohome.com,1.67,17%,"(3,032 Votes)",925860180
Bluestone.com,4.18,81%,"(3,615 Votes)",925660686
Excitinglives.com,3.85,74%,(523 Votes),925631964
Prashantisarees.in,3,50%,(2 Votes),926022944
Mirraw.com,4.25,77%,"(9,750 Votes)",925737819
Stylezone.co,1.77,31%,(155 Votes),926006978
Shoppre.com,2.55,45%,(416 Votes),925945039
Flipkart.com,3.21,67%,"(2,42,497 Votes)",925076148
Teesort.com,3.68,68%,(285 Votes),925640980
Fabindia.com,1.95,26%,"(1,094 Votes)",925071617
Bantia.in,1.9,23%,(369 Votes),925922913
Perfumeaddiction.com,4.73,100%,(131 Votes),926020937
Healthkart.com,2.52,44%,"(5,303 Votes)",925641492
Firstcry.com,2.06,31%,"(9,821 Votes)",925615315
Alibaba.com,1.53,13%,"(2,212 Votes)",925039114
Shyaway.com,1.39,11%,(214 Votes),925998393
Berlynoak.com,0,0%,(0 Votes),926098881
Realkart.in,0,0%,(0 Votes),926098877
Tradewin.co.in,0,0%,(0 Votes),926098875
Saidattasaree.in,1,1%,(1 Vote),926098401
Cratekart.com,0,0%,(0 Votes),926097886
Eshop.hubpak.com,0,0%,(0 Votes),926097882
Fisheshop.com,1,1%,(1 Vote),926097880
Zaitoonlifestyle.com,0,0%,(0 Votes),926097563
Onlinerefurbished.co.in,1,1%,(1 Vote),926097557
Giftsoflove.in,0,0%,(0 Votes),926097551
Saleskart.net,0,0%,(0 Votes),926097549
Dashindia.in,0,0%,(0 Votes),926097548
Salconelectronics.com,1,1%,(1 Vote),926097452
Synernutrition.com.pk,0,0%,(0 Votes),926097352
Ethnava.com,0,0%,(0 Votes),926097347
Dsgiftscart.com,0,0%,(0 Votes),926097307
Dealcircle.in,4,100%,(1 Vote),926097305
Laptoprepairsandparts.com,1,1%,(1 Vote),926096971
Pahadinatural.com,0,0%,(0 Votes),926096970
Lilyattire.com,1,1%,(2 Votes),926096755
Aryadressmakers.com,1,1%,(1 Vote),926096556
Pintola.in,0,0%,(0 Votes),926096516
Nearshop.in,0,0%,(0 Votes),926096515
Shoproom.in,1,1%,(1 Vote),926096161
Enter.online,0,0%,(0 Votes),926096126
Moderncrew.in,0,0%,(0 Votes),926096115
Creez.in,0,0%,(0 Votes),926096114
Henryandsmith.com,0,0%,(0 Votes),926096112
Wonderchef.com,0,0%,(0 Votes),926096111
Panache-lingerie.com,0,0%,(0 Votes),926095685
Payalboutiqu.myshopify.com,1,1%,(1 Vote),926095369
Newcountryappliances.com,0,0%,(0 Votes),926095362
Shining-jewel.com,0,0%,(0 Votes),926095359
Musclepharm.com,0,0%,(0 Votes),926095347
Boddess.com,4,100%,(1 Vote),926094914
Dabasket.in,0,0%,(0 Votes),926094349
Mauimoisture.com,0,0%,(0 Votes),926094309
Businesskart.in,0,0%,(0 Votes),926094307
Themancompany.com,0,0%,(0 Votes),926094297
Divisastore.com,0,0%,(0 Votes),926094295
Aaharmarket.com,0,0%,(0 Votes),926093904
Sareeshopchennai.com,5,100%,(1 Vote),926093901
Exporters.sg,0,0%,(0 Votes),926093895
Ziasabers.com,0,0%,(0 Votes),926093427
Apex Enterprises,0,0%,(0 Votes),926093420
Vellada.com,5,100%,(1 Vote),926093389
Waahkart.com,1,1%,(1 Vote),926093387
Girlyfab.com,0,0%,(0 Votes),926093383
Rev-a-shelf.com,0,0%,(0 Votes),926093065
Shopatsc.com,0,0%,(0 Votes),926092862
Dermatouch.com,0,0%,(0 Votes),926092568
Turfeel.com,1,1%,(2 Votes),926092567
Octaviatea.com,0,0%,(0 Votes),926092558
Sitesupply.in,0,0%,(0 Votes),926092204
Jaipuriadaah.com,0,0%,(0 Votes),926092096
Tharakansdutypaid.com,0,0%,(0 Votes),926091308
Rustictown.com,0,0%,(0 Votes),926091095
Afcfurniture.in,0,0%,(0 Votes),926090220
Culttrendy.com,5,100%,(1 Vote),926090219
Mtechtoner.com,3,100%,(1 Vote),926090218
Glutaweis.com,0,0%,(0 Votes),926090217
Charmsphere.com,0,0%,(0 Votes),926090216
Echosoundworks.com,0,0%,(0 Votes),926088850
